Name,Price,Price (Value),City,Full Location,Bedrooms,Area,Bathroom
Reserve A Centrally Located House In Vital Homes Housing Scheme,"Rs.  11,000,000",11000000, Lahore,"Vital Homes Housing Scheme, Lahore",3,3 Marla,3
3 Marla House In Vital Homes Housing Scheme For sale,"Rs.  10,000,000",10000000, Lahore,"Vital Homes Housing Scheme, Lahore",3,3 Marla,3
Vital Homes Housing Scheme 3 Marla House Up For sale,"Rs.  11,500,000",11500000, Lahore,"Vital Homes Housing Scheme, Lahore",3,3 Marla,3
House Of 12 Marla Available In Eden Avenue,"Rs.  32,500,000",32500000, Lahore,"Eden Avenue, Lahore",4,12 Marla,4
House In Eden Avenue Sized 10 Marla Is Available,"Rs.  35,000,000",35000000, Lahore,"Eden Avenue, Lahore",3,10 Marla,5
House Of 10 Marla In Eden Avenue Extension For sale,"Rs.  41,000,000",41000000, Lahore,"Eden Avenue Extension, Lahore",3,10 Marla,5
Buy your ideal 10 Marla House in a prime location of Lahore,"Rs.  36,000,000",36000000, Lahore,"Divine Gardens - Block C, Lahore",4,10 Marla,5
Grey Structure,"Rs.  40,000,000",40000000, Lahore,"Divine Gardens - Block A, Lahore",5,14 Marla,5
1 KANAL (20 MARLA) HOUSE FOR SALE GOOD LOCATION,"Rs.  74,000,000",74000000, Lahore,"Askari 11, Lahore",4,20 Marla,5
8.5 Marla Brand New 2 Unit luxury House For Sale in Gulstan Colony Rwp,"Rs.  25,000,000",25000000, Rawalpindi,"Ayub National Park, Rawalpindi",5,8 Marla,5
5 Marla brand new house for Sell,"Rs.  28,900,000",28900000, Lahore,"Etihad Town, Lahore",5,5 Marla,6
1 Kanal Modern Design Luxury Bungalow For Sale At Prime Location Of Dh,"Rs.  68,500,000",68500000, Lahore,"DHA Phase 6 - Block N, Lahore",5,1 Kanal,6
SPANISH DESIGNE BRAND NEW FULLY FURNISHED TOP LOCATION IN DHA DEFENCE,"Rs.  90,000,000",90000000, Lahore,"DHA Phase 6 - Block C, Lahore",5,1 Kanal,6
A Palatial Residence For sale In Citi Housing Scheme Citi Housing Sche,"Rs.  21,000,000",21000000, Jhelum,"Citi Housing Scheme, Jhelum",1,7 Marla,1
Grey Structure,"Rs.  62,500,000",62500000, Lahore,"Divine Gardens - Block B, Lahore",5,24 Marla,5
Prime Location,"Rs.  34,000,000",34000000, Lahore,"Divine Gardens - Block C, Lahore",3,8 Marla,4
Prime Location,"Rs.  41,500,000",41500000, Lahore,"Divine Gardens - Block D, Lahore",4,12 Marla,5
Prime Location,"Rs.  33,500,000",33500000, Lahore,"Divine Gardens - Block C, Lahore",3,8 Marla,4
Buy A House Of 14 Marla In Divine Gardens - Block A,"Rs.  57,500,000",57500000, Lahore,"Divine Gardens - Block A, Lahore",5,14 Marla,5
End Your Search For House Here And sale Now,"Rs.  47,000,000",47000000, Lahore,"Divine Gardens - Block A, Lahore",4,12 Marla,5
Luxurious Designer 10 Marla brand new House For Sale in Bahria Town Lahore,"Rs.  39,500,000",39500000, Lahore,"Bahria Town - Sector B, Lahore",5,10 Marla,6
In Divine Gardens - Block A 14 Marla House For sale,"Rs.  42,500,000",42500000, Lahore,"Divine Gardens - Block A, Lahore",4,14 Marla,5
5 Marla House In Divine Gardens For sale,"Rs.  21,000,000",21000000, Lahore,"Divine Gardens, Lahore",3,5 Marla,5
A Palatial Residence For sale In Divine Gardens Divine Gardens,"Rs.  22,000,000",22000000, Lahore,"Divine Gardens, Lahore",3,5 Marla,5
In Divine Gardens House Sized 20 Marla For sale,"Rs.  70,000,000",70000000, Lahore,"Divine Gardens, Lahore",5,20 Marla,5
8 Marla House In Central Divine Gardens For sale,"Rs.  32,500,000",32500000, Lahore,"Divine Gardens, Lahore",3,8 Marla,4
A House At Affordable Price Awaits You,"Rs.  29,000,000",29000000, Lahore,"Divine Gardens, Lahore",4,12 Marla,5
Lowest budget 2 kanal beautiful house in dha phase 3 just RS 16.5 crore,"Rs.  165,000,000",165000000, Lahore,"DHA Phase 3, Lahore",5,2 Kanal,6
8 MARLA BRAND NEW HOUSE NEAR PARK,"Rs.  27,000,000",27000000, Lahore,"Halloki Gardens - Block A, Lahore",5,8 Marla,4
2 Marla House For Sale 1 Year Used,"Rs.  6,950,000",6950000, Lahore,"Samanabad, Lahore",3,1 Marla,2
Kanal Ultra Modern Design House For Sale in DHA Phase 6.,"Rs.  90,000,000",90000000, Lahore,"DHA Phase 6, Lahore",5,1 Kanal,6
One Kanal Ultra Modern Design House for Sale,"Rs.  65,500,000",65500000, Lahore,"DHA Phase 7, Lahore",5,1 Kanal,6
5 MARLA BRAND NEW MODREN DESIGN HOUSE AVAILABLE FOR SALE IN DHA 9 TOWN IN REASONABLE PRICE,"Rs.  20,500,000",20500000, Lahore,"DHA 9 Town, Lahore",3,5 Marla,4
Eden Avenue House Sized 12 Marla,"Rs.  35,000,000",35000000, Lahore,"Eden Avenue, Lahore",3,12 Marla,4
Prime Location 10 Marla House available for sale in Eden Avenue if you,"Rs.  31,000,000",31000000, Lahore,"Eden Avenue, Lahore",3,10 Marla,4
Home for Sale,"Rs.  6,000,000",6000000, Lahore,"Sabzazar, Lahore",4,2 Marla,2
Prime Location 10 Marla House In Eden Avenue Extension Is Best Option,"Rs.  35,000,000",35000000, Lahore,"Eden Avenue Extension, Lahore",3,10 Marla,4
Highly-Desirable Prime Location House Available In Eden Avenue Extension For sale,"Rs.  33,000,000",33000000, Lahore,"Eden Avenue Extension, Lahore",3,10 Marla,4
10 Marla Old House for Sale in D Block Phase 5 DHA Lahore,"Rs.  50,000,000",50000000, Lahore,"DHA Phase 5 - Block D, Lahore",4,10 Marla,5
1 Kanal Brand New Modern Design House for Sale in Y Block Phase 7 DHA Lahore,"Rs.  78,000,000",78000000, Lahore,"DHA Phase 7 - Block Y, Lahore",5,1 Kanal,6
5 Marla Modern Design House for Sale in C Block Phase 9 Town DHA Lahore,"Rs.  22,500,000",22500000, Lahore,"DHA 9 Town - Block C, Lahore",3,5 Marla,4
"House For sale In Rs. 26,500,000","Rs.  26,500,000",26500000, Lahore,"TIP Housing Society - Phase 1, Lahore",5,9 Marla,5
Prime Location House Sized 5 Marla Available In DHA 9 Town - Block A,"Rs.  28,000,000",28000000, Lahore,"DHA 9 Town - Block A, Lahore",3,5 Marla,4
Self Made Kanal Bungalow Only 575 Lakh,"Rs.  57,500,000",57500000, Lahore,"DHA Phase 7 - Block Z2, Lahore",3,1 Kanal,4
1 Kanal House Available For sale In DHA Phase 2 - Block Q corner 525 l,"Rs.  49,000,000",49000000, Lahore,"DHA Phase 2 - Block Q, Lahore",3,1 Kanal,3
1 Kanal House Is Available For Sale In Dha Phase 7 Block P Lahore,"Rs.  72,500,000",72500000, Lahore,"DHA Phase 7 - Block P, Lahore",1,1 Kanal,1
"Modern design Bungalow DHA phase 6, 8 crore","Rs.  80,000,000",80000000, Lahore,"DHA Phase 6, Lahore",5,20 Marla,6
House Of 5 Marla Available In Citi Housing - Phase 2,"Rs.  16,000,000",16000000, Gujranwala,"Citi Housing - Phase 2, Gujranwala",4,5 Marla,5
3 Years Installment Plus Cash Based 5 Marla Spanish House In Bahria Orchard Lahore,"Rs.  16,200,000",16200000, Lahore,"Bahria Orchard, Lahore",4,5 Marla,4
10 Marla Eden House For Sale With Gas Connection In Sector M-7 Lake City Lahore,"Rs.  25,000,000",25000000, Lahore,"Lake City - Sector M-7, Lahore",3,10 Marla,3
5 Marla Residential House For Sale In Jinnah Block Sector E Bahria Tow,"Rs.  21,500,000",21500000, Lahore,"Bahria Town - Jinnah Block, Lahore",3,5 Marla,5
1 Kanal Ultra Modern Design House for sale in DHA Phase 7.,"Rs.  86,000,000",86000000, Lahore,"DHA Phase 7, Lahore",5,1 Kanal,6
5 Marla Modern House For Sale,"Rs.  23,000,000",23000000, Lahore,"Lake City - Sector M-7, Lahore",4,5 Marla,4
Modern Design Kanal Bungalow 5 Bed 850 Lakh,"Rs.  85,000,000",85000000, Lahore,"DHA Phase 1, Lahore",5,1 Kanal,6
Defence phase 7 kanal Most luxurious bungalow 5bed 8 crore,"Rs.  80,000,000",80000000, Lahore,"DHA Phase 7, Lahore",5,20 Marla,5
Defence phase 6 kanal Modern design bungalow 850 lakh,"Rs.  85,000,000",85000000, Lahore,"DHA Phase 6, Lahore",5,20 Marla,5
Green City 10 Marla House 50'wide Road Close To Park 4beds 350 Lakh,"Rs.  35,000,000",35000000, Lahore,"Green City, Lahore",4,10 Marla,4
Buying A House In Vital Homes Housing Scheme?,"Rs.  10,500,000",10500000, Lahore,"Vital Homes Housing Scheme, Lahore",3,3 Marla,3
Ideally Located House For sale In Shadab Garden Available,"Rs.  17,000,000",17000000, Lahore,"Shadab Garden, Lahore",3,5 Marla,3
"Ideal 5 Marla House has landed on market in Shadab Garden, Shadab Gard","Rs.  16,500,000",16500000, Lahore,"Shadab Garden, Lahore",3,5 Marla,3
5 Marla House Available In Shadab Garden For sale,"Rs.  16,000,000",16000000, Lahore,"Shadab Garden, Lahore",3,5 Marla,3
Buy A 4 Marla House For sale In Shadab Garden,"Rs.  14,500,000",14500000, Lahore,"Shadab Garden, Lahore",3,4 Marla,3
Get In Touch Now To Buy A 4 Marla House In Shadab Garden,"Rs.  14,000,000",14000000, Lahore,"Shadab Garden, Lahore",3,4 Marla,3
5 marla brand new house in Executive block,"Rs.  18,500,000",18500000, Lahore,"Park View City - Executive Block, Lahore",4,5 Marla,4
Get In Touch Now To Buy A 5 Marla House In SMD Homes,"Rs.  12,500,000",12500000, Faisalabad,"SMD Homes, Faisalabad",5,5 Marla,6
1 Kanal Double Storey Use House Available For Sale In Fasial Town Road,"Rs.  70,000,000",70000000, Lahore,"Faisal Town - Block P, Lahore",5,1 Kanal,5
5 MARLA BRAND NEW HOUSE 9 TOWN A BLOCK DHA LAHORE,"Rs.  22,000,000",22000000, Lahore,"DHA 9 Town - Block A, Lahore",3,5 Marla,3
12 Marla Double Story house sale,"Rs.  59,000,000",59000000, Rawalpindi,"Media Town, Rawalpindi",6,12 Marla,6
3 Marla House For sale Is Available In Shadab Garden,"Rs.  10,000,000",10000000, Lahore,"Shadab Garden, Lahore",3,3 Marla,3
10 Marla House Situated In Marghzar Officers Colony For sale,"Rs.  29,000,000",29000000, Lahore,"Marghzar Officers Colony, Lahore",5,10 Marla,5
Luxurious Designer 10 Marla brand new House For Sale in Bahria Town Lahore,"Rs.  36,000,000",36000000, Lahore,"Bahria Town - Sector F, Lahore",5,10 Marla,6
House In DHA Phase 1 Sized 10 Marla Is Available,"Rs.  60,000,000",60000000, Lahore,"DHA Phase 1, Lahore",4,10 Marla,4
House For Sale In Beautiful Dha Phase 8,"Rs.  140,000,000",140000000, Lahore,"DHA Phase 8, Lahore",5,1 Kanal,5
Prime Location,"Rs.  220,000,000",220000000, Lahore,"DHA Phase 8, Lahore",5,2 Kanal,5
Prime Location,"Rs.  58,000,000",58000000, Lahore,"DHA Phase 8, Lahore",4,10 Marla,4
Prime Location,"Rs.  35,000,000",35000000, Lahore,"DHA Phase 8, Lahore",3,5 Marla,3
To Sale You Can Find Spacious House In Dha Phase 7,"Rs.  130,000,000",130000000, Lahore,"DHA Phase 7, Lahore",5,1 Kanal,5
Prime Location,"Rs.  65,000,000",65000000, Lahore,"DHA Phase 7, Lahore",4,10 Marla,4
Prime Location,"Rs.  65,000,000",65000000, Lahore,"DHA Phase 6, Lahore",4,10 Marla,4
Prime Location,"Rs.  130,000,000",130000000, Lahore,"DHA Phase 6, Lahore",5,1 Kanal,5
Prime Location,"Rs.  35,000,000",35000000, Lahore,"DHA Phase 6, Lahore",3,5 Marla,3
House For Sale,"Rs.  42,500,000",42500000, Rawalpindi,"Range Road, Rawalpindi",6,12 Marla,6
2.5 Marla New House for sale,"Rs.  3,500,000",3500000, Rawalpindi,"Adiala Road, Rawalpindi",3,2 Marla,2
Brand New 08 Kanal Farm House Is Available,"Rs.  55,000,000",55000000, Lahore,"Bedian Road, Lahore",2,8 Kanal,2
Brand New Fresh houses 3 Marla 4 Marla 5 Marla near Aksri 14 Gate,"Rs.  123,456,789",123456789, Rawalpindi,"Askari 14, Rawalpindi",2,345 Marla,2
5 Marla house for sale,"Rs.  13,500,000",13500000, Lahore,"Al-Ahmad Garden Housing Scheme, Lahore",4,5 Marla,5
20 Marla House In Wapda City - Block G For sale,"Rs.  80,000,000",80000000, Faisalabad,"Wapda City - Block G, Faisalabad",1,20 Marla,1
Prime Location,"Rs.  55,000,000",55000000, Lahore,"DHA Phase 6, Lahore",3,7 Marla,3
Prime Location,"Rs.  65,000,000",65000000, Lahore,"DHA Phase 4, Lahore",4,10 Marla,4
Prime Location,"Rs.  30,000,000",30000000, Lahore,"DHA Phase 4, Lahore",3,5 Marla,3
Prime Location,"Rs.  220,000,000",220000000, Lahore,"DHA Phase 4, Lahore",5,2 Kanal,5
4500 Square Feet House Is Available For Sale In Dha Phase 4,"Rs.  125,000,000",125000000, Lahore,"DHA Phase 4, Lahore",5,1 Kanal,5
This Is Your Chance To Buy House In Lahore,"Rs.  125,000,000",125000000, Lahore,"DHA Phase 3, Lahore",5,1 Kanal,5
Corner Luxurious Designer 12 Marla Brand New House For Sale in Bahria Town Lahore,"Rs.  49,000,000",49000000, Lahore,"Bahria Town - Sector C, Lahore",5,12 Marla,6
Prime Location,"Rs.  280,000,000",280000000, Lahore,"DHA Phase 3, Lahore",5,2 Kanal,5
Prime Location,"Rs.  35,000,000",35000000, Lahore,"DHA Phase 3, Lahore",3,5 Marla,3
House Of 4500 Square Feet In Dha Phase 8 For Sale,"Rs.  140,000,000",140000000, Lahore,"DHA Phase 8, Lahore",5,1 Kanal,5
House For sale In Beautiful DHA Phase 1,"Rs.  60,000,000",60000000, Lahore,"DHA Phase 1, Lahore",4,10 Marla,4
Prime Location,"Rs.  30,000,000",30000000, Lahore,"DHA Phase 1, Lahore",3,5 Marla,3
Prime Location,"Rs.  200,000,000",200000000, Lahore,"DHA Phase 1, Lahore",5,2 Kanal,5
4500 Square Feet House In Stunning Dha Phase 1 Is Available For Sale,"Rs.  120,000,000",120000000, Lahore,"DHA Phase 1, Lahore",5,1 Kanal,5
10 Marla Beautiful triple story house urgent for Sale in sabzazar,"Rs.  34,000,000",34000000, Lahore,"Sabzazar, Lahore",6,10 Marla,6
4 Marla House for Sale in Baghbanpura Near Shalimar Bagh Lahore,"Rs.  8,500,000",8500000, Lahore,"Baghbanpura, Lahore",1,4 Marla,2
6 Marla Luxury Double Story Villa For Sale in DHA Multan DHA Villas,"Rs.  13,000,000",13000000, Multan,"DHA Villas, Multan",3,6 Marla,4
"House for sale 7.3 marla ( 03133904353)  Mt,3 Sargodha road Faisalabad","Rs.  18,400,000",18400000, Faisalabad,"Gulshan e Madina Phase 1 - Umer Block, Faisalabad",6,7.3 Marla,5
"Ideal Location, 5 Marla House With Premium Amenities Is Available For Sale In Bahria Orchard.","Rs.  16,500,000",16500000, Lahore,"OLC - Block A, Lahore",3,5 Marla,4
"5.5 Marla Corner Double unit For Sale
Main Defense Road 
All Facalities available","Rs.  20,000,000",20000000, Rawalpindi,"Defence Road, Rawalpindi",4,5 Marla,5
Good 4500 Square Feet House For Sale In Dha Phase 2,"Rs.  110,000,000",110000000, Lahore,"DHA Phase 2, Lahore",5,1 Kanal,5
Prime Location,"Rs.  220,000,000",220000000, Lahore,"DHA Phase 2, Lahore",5,2 Kanal,5
Prime Location,"Rs.  35,000,000",35000000, Lahore,"DHA Phase 2, Lahore",3,5 Marla,3
Prime Location,"Rs.  65,000,000",65000000, Lahore,"DHA Phase 3, Lahore",4,10 Marla,4
Prime Location,"Rs.  60,000,000",60000000, Lahore,"DHA Phase 2, Lahore",4,10 Marla,4
Prime Location,"Rs.  30,000,000",30000000, Lahore,"DHA Phase 7, Lahore",3,5 Marla,3
House In Dha Phase 7 For Sale,"Rs.  130,000,000",130000000, Lahore,"DHA Phase 7, Lahore",5,1 Kanal,5
Prime Location,"Rs.  170,000,000",170000000, Lahore,"DHA Phase 7, Lahore",5,2 Kanal,5
10 Marla House for Sale in DHA Solar Installed,"Rs.  48,500,000",48500000, Lahore,"DHA Phase 5, Lahore",4,10 Marla,5
Brand New 5 Marla Bungalow For Sale Located In Overseas C Block Bahria,"Rs.  21,000,000",21000000, Lahore,"Bahria Town - Overseas C, Lahore",1,5 Marla,1
5 Marla Brand New Triple Story Beautiful House for Sale Facings Park A,"Rs.  29,400,000",29400000, Lahore,"Johar Town Phase 2 - Block M, Lahore",6,5 Marla,6
5 MARLA BRAND NEW MODREN DESIGN HOUSE AVAILABLE FOR SALE IN DHA 9 TOWN IN REASONABLE PRICE,"Rs.  18,000,000",18000000, Lahore,"DHA 9 Town, Lahore",3,5 Marla,4
10 Marla Brand New Modern bungalow for sale in Phase 6,"Rs.  65,000,000",65000000, Lahore,"DHA Phase 6, Lahore",4,10 Marla,5
Spacious 4500 Square Feet House Available For Sale In Dha Phase 4,"Rs.  125,000,000",125000000, Lahore,"DHA Phase 4, Lahore",5,1 Kanal,5
Well-Constructed House Available For Sale In Dha Phase 3,"Rs.  125,000,000",125000000, Lahore,"DHA Phase 3, Lahore",5,1 Kanal,5
Prime Location,"Rs.  7,500,000",7500000, Lahore,"Lahore Motorway City, Lahore",3,5 Marla,3
Orchards Green Farmhouse on Easy Instalment Available on Bedian Road Lahore,"Rs.  4,500,000",4500000, Lahore,"Bedian Road, Lahore",1,1 Kanal,1
7 Marla Brand New Luxury House For Sale In Johar Town,"Rs.  31,000,000",31000000, Lahore,"Johar Town, Lahore",5,7 Marla,6
6 Marla 36 front use Dubble stoery house available for sale near Chungi Amer sidhu Round About jail Road Lahore,"Rs.  17,500,000",17500000, Lahore,"Chungi Amar Sadhu, Lahore",6,6 Marla,4
3 Marla Platinum Homes Al Kabir Town Phase-2,"Rs.  11,000,000",11000000, Lahore,"Al-Kabir Town - Phase 2, Lahore",3,3 SQFT,4
Central Park AA Block 5M Spanish house for sale,"Rs.  19,000,000",19000000, Lahore,"Central Park Housing Scheme, Lahore",3,5 Marla,5
5 Marla Double Storey House for sale,"Rs.  6,000,000",6000000, Rawalpindi,"Girja Road, Rawalpindi",6,5 Marla,2
10 Marla Modern Bungalow For Sale In Dha Phase 6,"Rs.  47,500,000",47500000, Lahore,"DHA Phase 6, Lahore",4,10 Marla,5
Orchards Green Farmhouse on Easy Instalment Available on Bedian Road Lahore,"Rs.  9,000,000",9000000, Lahore,"Bedian Road, Lahore",1,2 Kanal,1
Single Storey,"Rs.  5,500,000",5500000, Lahore,"Lahore Motorway City, Lahore",2,5 Marla,2
8 Marla Facing Park Brand New Beautiful House at Ideal Location is For Sale in Bahria Orchard Phase 2 - Block D Lahore,"Rs.  27,000,000",27000000, Lahore,"Bahria Orchard Phase 2, Lahore",4,8 Marla,4
4 Marla Double Story house for sale in Cantt View Colony Sialkot,"Rs.  17,000,000",17000000, Sialkot,"Cantt View Colony, Sialkot",3,4 Marla,4
3 Marla Double Story 4 Bed Beautiful House On Multan Road Saman Zar Ne,"Rs.  9,700,000",9700000, Lahore,"Saman Zar Colony Rustam Park, Lahore",4,3 Marla,4
5 Marla House For Sale D Block,"Rs.  20,000,000",20000000, Lahore,"Punjab Coop Housing Society, Lahore",3,5 Marla,4
Facing Park Luxurious Designer 10 Marla brand new House For Sale in Bahria Town Lahore,"Rs.  50,000,000",50000000, Lahore,"Bahria Town - Sector B, Lahore",5,10 Marla,6
10 Marla House In LDA Avenue Is Available For sale,"Rs.  33,200,000",33200000, Lahore,"LDA Avenue, Lahore",5,10 Marla,5
A Well Designed Prime Location House Is Up For sale In An Ideal Locati,"Rs.  200,000,000",200000000, Lahore,"DHA Phase 1, Lahore",5,2 Kanal,5
Ready To Buy A Prime Location House 2 Kanal In DHA Phase 8,"Rs.  220,000,000",220000000, Lahore,"DHA Phase 8, Lahore",5,2 Kanal,5
Houses available on 3 to 10 years Installments plan,"Rs.  35,000,000",35000000, Lahore,"DHA Phase 2, Lahore",3,5 Marla,3
1 Kanal Beautiful Hot Location Banglow,"Rs.  78,000,000",78000000, Lahore,"Valencia - Block E1, Lahore",6,1 Kanal,6
1 Kanal Most Luxury Modern Design Lavish Bungalow for Sale,"Rs.  79,000,000",79000000, Lahore,"DHA Phase 6, Lahore",6,20 Marla,5
3 Marla House For Sale With Premium Amenities In Alkibir Town Phase 1 Lahore,"Rs.  11,600,000",11600000, Lahore,"Al-Kabir Town - Phase 1, Lahore",3,3 Marla,3
5 MARLA BRAND NEW MODREN DESIGN HOUSE AVAILABLE FOR SALE,"Rs.  14,000,000",14000000, Lahore,"Formanites Housing Scheme, Lahore",3,5 Marla,4
GOOD LOCATION 10 MARLA HOUSE AVAILABLE FOR SALE IN ARCHITECT HOUSING SOCIETY,"Rs.  33,000,000",33000000, Lahore,"Architects Engineers Housing Society, Lahore",5,10 Marla,5
6 YEARS USED 10 MARLA PERFECT LOCATION HOUSE AVAILABLE FOR SALE IN ARCHITECT HOUSING SOCIETY,"Rs.  33,000,000",33000000, Lahore,"Architects Engineers Housing Society, Lahore",5,10 Marla,5
shipping container porta cabin office container prefab homes with bath,"Rs.  1,250,000",1250000, Sialkot,"Al-Rehman Garden, Sialkot",1,400 Marla,1
Get In Touch Now To Buy A 5 Marla House In Pak Arab Housing Society,"Rs.  21,700,000",21700000, Lahore,"Pak Arab Housing Society, Lahore",3,5 Marla,3
End Your Search For House Here And sale Now,"Rs.  12,500,000",12500000, Lahore,"Pak Arab Housing Society, Lahore",3,3 Marla,3
Ready To Buy A House In Pak Arab Housing Society Pak Arab Housing Soci,"Rs.  13,000,000",13000000, Lahore,"Pak Arab Housing Society, Lahore",3,3 Marla,3
3 Marla House For sale In Vital Homes Housing Scheme Vital Homes Housi,"Rs.  10,000,000",10000000, Lahore,"Vital Homes Housing Scheme, Lahore",3,3 Marla,3
3 Marla House Available In Pak Arab Housing Society For sale,"Rs.  13,500,000",13500000, Lahore,"Pak Arab Housing Society, Lahore",3,3 Marla,3
This Is Your Chance To Buy House In Vital Homes Housing Scheme,"Rs.  10,500,000",10500000, Lahore,"Vital Homes Housing Scheme, Lahore",3,3 Marla,3
Vital Homes Housing Scheme House Sized 3 Marla Is Available,"Rs.  11,500,000",11500000, Lahore,"Vital Homes Housing Scheme, Lahore",3,3 Marla,3
Buy A House Of 3 Marla In Vital Homes Housing Scheme,"Rs.  11,000,000",11000000, Lahore,"Vital Homes Housing Scheme, Lahore",3,3 Marla,3
3 Marla House Situated In Vital Homes Housing Scheme For sale,"Rs.  11,200,000",11200000, Lahore,"Vital Homes Housing Scheme, Lahore",3,3 Marla,3
Book A House Of 10 Marla In Bahria Town Phase 3 Rawalpindi,"Rs.  45,000,000",45000000, Rawalpindi,"Bahria Town Phase 3, Rawalpindi",5,10 Marla,5
8 Marla very Beautiful House For Sale at prime location special for hostel near to UMT,"Rs.  32,500,000",32500000, Lahore,"Johar Town Phase 1, Lahore",4,8 Marla,3
A 32 Marla Bungalow Available For Sale In PGECHS Phase 2 Lahore,"Rs.  85,000,000",85000000, Lahore,"PGECHS Phase 2, Lahore",5,32 Marla,6
1 Kanal Full Basement Theater Bungalow with 20kv Soler System,"Rs.  162,500,000",162500000, Lahore,"DHA Phase 6 - Block B, Lahore",6,20 Marla,6
Own A House In 3 Marla Vital Homes Housing Scheme,"Rs.  11,400,000",11400000, Lahore,"Vital Homes Housing Scheme, Lahore",3,3 Marla,3
Gorgeous 3 Marla House For sale Available In Vital Homes Housing Schem,"Rs.  10,600,000",10600000, Lahore,"Vital Homes Housing Scheme, Lahore",3,3 Marla,3
3 Marla House Is Available In Vital Homes Housing Scheme,"Rs.  10,400,000",10400000, Lahore,"Vital Homes Housing Scheme, Lahore",3,3 Marla,3
Ideal House Is Available For sale In Pak Arab Housing Society,"Rs.  13,500,000",13500000, Lahore,"Pak Arab Housing Society, Lahore",3,3 Marla,3
End Your Search For House Here And sale Now,"Rs.  10,800,000",10800000, Lahore,"Vital Homes Housing Scheme, Lahore",3,3 Marla,3
Reserve A Centrally Located House Of 3.5 Marla In Pak Arab Housing Soc,"Rs.  14,000,000",14000000, Lahore,"Pak Arab Housing Society, Lahore",3,3 Marla,3
Reserve A Centrally Located House Of 3 Marla In Ferozepur Road,"Rs.  4,500,000",4500000, Lahore,"Ferozepur Road, Lahore",3,3 Marla,3
2 Marla House In Ferozepur Road For sale At Good Location,"Rs.  4,000,000",4000000, Lahore,"Ferozepur Road, Lahore",3,2 Marla,3
3 Marla House For sale In Ferozepur Road Ferozepur Road In Only Rs. 4500000,"Rs.  4,500,000",4500000, Lahore,"Ferozepur Road, Lahore",3,3 Marla,3
Find Your Ideal House In Ferozepur Road Under Rs. 4500000,"Rs.  4,500,000",4500000, Lahore,"Ferozepur Road, Lahore",3,3 Marla,3
Book House Today In Ferozepur Road,"Rs.  4,000,000",4000000, Lahore,"Ferozepur Road, Lahore",3,2 Marla,3
2 Marla House In Stunning Ferozepur Road Is Available For sale,"Rs.  4,000,000",4000000, Lahore,"Ferozepur Road, Lahore",3,2 Marla,3
Find Your Ideal House In Ferozepur Road Under Rs. 4000000,"Rs.  4,000,000",4000000, Lahore,"Ferozepur Road, Lahore",3,2 Marla,3
"5 Marla house for sale 
Bahria Town Lahore","Rs.  20,000,000",20000000, Lahore,"Bahria Town, Lahore",3,5 Marla,3
HOUSE FOR SALE IN BAHRIA TOWN LAHORE,"Rs.  45,500,000",45500000, Lahore,"Bahria Town - Sector C, Lahore",6,10 Marla,1
10 Marla Brand New House available for sale,"Rs.  40,000,000",40000000, Lahore,"Bahria Town - Sector B, Lahore",5,5 Marla,5
Highly Recommended 5 Marla Slightly Used House With Sui Gas Is Available For Sale in Eastern,"Rs.  15,000,000",15000000, Lahore,"Bahria Orchard Phase 1 - Eastern, Lahore",3,5 Marla,4
A House Of 3 Marla In Ferozepur Road,"Rs.  4,500,000",4500000, Lahore,"Ferozepur Road, Lahore",3,3 Marla,3
3 Marla House For sale Available In Ferozepur Road,"Rs.  4,500,000",4500000, Lahore,"Ferozepur Road, Lahore",3,3 Marla,3
House For sale In Beautiful Ferozepur Road,"Rs.  4,500,000",4500000, Lahore,"Ferozepur Road, Lahore",3,3 Marla,3
Ready To Buy A House In Ferozepur Road Ferozepur Road,"Rs.  4,500,000",4500000, Lahore,"Ferozepur Road, Lahore",3,3 Marla,3
A 3 Marla House Has Landed On Market In Ferozepur Road Of Ferozepur Road,"Rs.  4,500,000",4500000, Lahore,"Ferozepur Road, Lahore",3,3 Marla,3
2 Marla House For sale In Ferozepur Road,"Rs.  4,000,000",4000000, Lahore,"Ferozepur Road, Lahore",3,2 Marla,3
2 Marla House Available In Ferozepur Road For sale,"Rs.  4,000,000",4000000, Lahore,"Ferozepur Road, Lahore",3,2 Marla,3
Highly-Desirable 2 Marla House Available In Ferozepur Road,"Rs.  4,000,000",4000000, Lahore,"Ferozepur Road, Lahore",3,2 Marla,3
House Sized 2 Marla Available In Ferozepur Road,"Rs.  4,000,000",4000000, Lahore,"Ferozepur Road, Lahore",3,2 Marla,3
Aesthetic House Of 2 Marla For sale Is Available,"Rs.  4,000,000",4000000, Lahore,"Ferozepur Road, Lahore",3,2 Marla,3
"House Of 2 Marla Is Available For sale In Ferozepur Road, Ferozepur Road","Rs.  4,000,000",4000000, Lahore,"Ferozepur Road, Lahore",3,2 Marla,3
House Spread Over 2 Marla In Ferozepur Road Available,"Rs.  4,000,000",4000000, Lahore,"Ferozepur Road, Lahore",3,2 Marla,3
7 marla furnished house sale mps road 0307 9772283,"Rs.  22,000,000",22000000, Multan,"Multan Public School Road, Multan",4,7 Marla,5
"10 Marla House for Sale in Sector C, Gulmohar Block, Bahira Town Lahore.","Rs.  47,000,000",47000000, Lahore,"Bahria Town - Sector C, Lahore",3,10 Marla,4
